C2min_1,C2min_2,C2min_3,C2pls_1,C2pls_2,C2pls_3,Score,Intensity,MS/MS count,Description,Fasta headers,Protein IDs,Majority protein IDs
22.2955,22.2903,22.396,20.6745,20.7922,21.0542,108.82,7.35319,24,merozoite surface protein 2,0206800.1  0206800 merozoite surface protein 2  merozoite surface protein 2  Pf3D7_02_v3:273689-274507(-)  272,PF3D7_0206800,PF3D7_0206800
21.9836,22.0554,22.4423,19.3246,21.4385,21.6495,9.792,7.35065,7,"26S proteasome regulatory subunit RPN13, putative","1414000.1  1414000 26S proteasome regulatory subunit RPN13, putative  26S proteasome regulatory subunit RPN13, putative  Pf3D7_14_v3:553639-555772(-)  253",PF3D7_1414000,PF3D7_1414000
22.0445,22.2649,22.4515,21.7397,21.5552,19.4259,8.301,7.36652,12,"40S ribosomal protein S9, putative","0520000.1  0520000 40S ribosomal protein S9, putative  40S ribosomal protein S9, putative  Pf3D7_05_v3:828953-829883(+)  189",PF3D7_0520000,PF3D7_0520000
21.9466,22.0282,21.8383,22.3052,20.2267,19.2768,6.4627,7.32414,11,"haloacid dehalogenase-like hydrolase, putative","1118400.1  1118400 haloacid dehalogenase-like hydrolase, putative  haloacid dehalogenase-like hydrolase, putative  Pf3D7_11_v3:699869-700789(-)  306",PF3D7_1118400,PF3D7_1118400
21.0182,20.8942,21.0939,19.9568,19.7179,19.3583,13.591,7.10322,12,"conserved protein, unknown function","1202600.1  1202600 conserved protein, unknown function  conserved protein, unknown function  Pf3D7_12_v3:148238-155478(-)  2180",PF3D7_1202600,PF3D7_1202600
20.5577,21.069,21.3021,19.8536,19.4609,19.6547,3.1634,6.95959,7,"40S ribosomal protein S17, putative","1242700.1  1242700 40S ribosomal protein S17, putative  40S ribosomal protein S17, putative  Pf3D7_12_v3:1803653-1804483(+)  137",PF3D7_1242700,PF3D7_1242700
21.4758,21.4137,21.656,20.3959,20.5688,19.7975,4.1241,7.1364,8,"40S ribosomal protein S20e, putative","1003500.1  1003500 40S ribosomal protein S20e, putative  40S ribosomal protein S20e, putative  Pf3D7_10_v3:160316-160962(-)  118",PF3D7_1003500,PF3D7_1003500
21.2348,21.2295,21.0793,19.0485,20.0569,20.702,6.0475,6.90432,7,"conserved Plasmodium protein, unknown function","1321900.1  1321900 conserved Plasmodium protein, unknown function  conserved Plasmodium protein, unknown function  Pf3D7_13_v3:911667-912545(-)  292",PF3D7_1321900,PF3D7_1321900
23.6436,23.7907,23.7115,22.3516,22.3735,22.7408,12.348,7.8201,18,"40S ribosomal protein S7, putative","1302800.1  1302800 40S ribosomal protein S7, putative  40S ribosomal protein S7, putative  Pf3D7_13_v3:150783-151635(-)  194",PF3D7_1302800,PF3D7_1302800
21.9861,21.8613,21.8849,19.7716,20.3898,21.9238,9.0695,7.24192,7,vacuolar protein sorting-associated protein 4,1457500.1  1457500 vacuolar protein sorting-associated protein 4  vacuolar protein sorting-associated protein 4  Pf3D7_14_v3:2360874-2362133(-)  419,PF3D7_1457500,PF3D7_1457500
27.649,27.6237,27.683,26.4848,26.4402,26.545,323.31,8.98392,361,merozoite surface protein 1,0930300.1  0930300 merozoite surface protein 1  merozoite surface protein 1  Pf3D7_09_v3:1201812-1206974(+)  1720,PF3D7_0930300;PF3D7_1312000,PF3D7_0930300
21.299,21.1394,21.2688,20.0976,19.556,20.9663,5.9646,7.10085,8,"eukaryotic translation initiation factor 3 subunit C, putative","1206200.1  1206200 eukaryotic translation initiation factor 3 subunit C, putative  eukaryotic translation initiation factor 3 subunit C, putative  Pf3D7_12_v3:275744-279336(-)  984",PF3D7_1206200,PF3D7_1206200
20.1719,20.4514,20.1817,19.1049,19.4866,19.1459,20.45,6.68115,7,small ubiquitin-related modifier,0505800.1  0505800 small ubiquitin-related modifier  small ubiquitin-related modifier  Pf3D7_05_v3:252047-252606(-)  100,PF3D7_0505800,PF3D7_0505800
22.2406,22.2203,21.9068,20.2672,21.5149,21.6772,140.28,7.36788,25,leucine-rich repeat protein,1032800.1  1032800 leucine-rich repeat protein  leucine-rich repeat protein  Pf3D7_10_v3:1313255-1314721(-)  309,PF3D7_1032800,PF3D7_1032800
24.204,24.1961,24.1945,23.513,23.2778,23.1186,18.616,7.97297,28,"40S ribosomal protein S4, putative","1105400.1  1105400 40S ribosomal protein S4, putative  40S ribosomal protein S4, putative  Pf3D7_11_v3:235597-237097(-)  261",PF3D7_1105400,PF3D7_1105400
24.3006,24.3566,24.2335,23.5504,23.2799,23.4623,34.654,8.04798,49,peptidyl-prolyl cis-trans isomerase,1115600.1  1115600 peptidyl-prolyl cis-trans isomerase  peptidyl-prolyl cis-trans isomerase  Pf3D7_11_v3:589707-590629(-)  195,PF3D7_1115600,PF3D7_1115600
21.7698,21.5387,21.5805,20.6911,20.6491,21.0068,55.789,7.19747,21,"40S ribosomal protein S23, putative","0306900.1  0306900 40S ribosomal protein S23, putative  40S ribosomal protein S23, putative  Pf3D7_03_v3:310652-311805(+)  145",PF3D7_0306900,PF3D7_0306900
20.3951,20.4356,20.6364,19.5974,19.9159,19.5587,7.2017,6.67709,6,targeted glyoxalase II,1205700.1  1205700 targeted glyoxalase II  targeted glyoxalase II  Pf3D7_12_v3:253155-254123(+)  322,PF3D7_1205700,PF3D7_1205700
23.8319,23.8103,23.7356,22.9753,22.982,23.0704,150.91,7.85283,31,40S ribosomal protein S6,1342000.1  1342000 40S ribosomal protein S6  40S ribosomal protein S6  Pf3D7_13_v3:1653211-1654131(-)  306,PF3D7_1342000,PF3D7_1342000
22.7738,22.788,22.7635,21.989,22.4504,21.5636,7.8431,7.55278,10,co-chaperone p23,1453700.1  1453700 co-chaperone p23  co-chaperone p23  Pf3D7_14_v3:2207027-2208320(+)  275,PF3D7_1453700,PF3D7_1453700
23.7865,23.4065,23.4453,22.7459,22.9081,22.7106,96.503,7.7841,31,"calcyclin binding protein, putative","1238100.1  1238100 calcyclin binding protein, putative  calcyclin binding protein, putative  Pf3D7_12_v3:1583909-1584595(-)  228",PF3D7_1238100,PF3D7_1238100
22.3479,22.5868,22.4466,22.0513,21.4188,21.6573,13.539,7.46589,21,"V-type proton ATPase subunit E, putative","0934500.1  0934500 V-type proton ATPase subunit E, putative  V-type proton ATPase subunit E, putative  Pf3D7_09_v3:1350836-1351929(-)  235",PF3D7_0934500,PF3D7_0934500
22.3808,22.2282,22.332,21.5817,21.7039,21.4421,9.3719,7.40853,12,"40S ribosomal protein S16, putative","0813900.1  0813900 40S ribosomal protein S16, putative  40S ribosomal protein S16, putative  Pf3D7_08_v3:677989-678725(-)  144",PF3D7_0813900,PF3D7_0813900
21.1966,21.5253,21.4958,20.6717,20.6318,20.7064,3.4538,7.08099,3,"HAD superfamily protein, putative","0303200.1  0303200 HAD superfamily protein, putative  HAD superfamily protein, putative  Pf3D7_03_v3:169571-174300(+)  1162",PF3D7_0303200,PF3D7_0303200
22.9102,22.8168,22.8755,22.1375,22.175,22.099,15.52,7.57781,26,"60S ribosomal protein L13, putative","1004000.1  1004000 60S ribosomal protein L13, putative  60S ribosomal protein L13, putative  Pf3D7_10_v3:179344-180226(-)  202",PF3D7_1004000,PF3D7_1004000
20.3264,20.3639,20.5773,19.8101,19.0628,20.2685,16.823,6.81847,9,lysine-rich membrane-associated PHISTb protein,0532400.1  0532400 lysine-rich membrane-associated PHISTb protein  lysine-rich membrane-associated PHISTb protein  Pf3D7_05_v3:1312471-1314154(+)  528,PF3D7_0532400,PF3D7_0532400
22.6193,22.7366,22.6915,22.1895,21.8916,21.881,12.533,7.52897,20,"proteasome subunit beta type-1, putative","0518300.1  0518300 proteasome subunit beta type-1, putative  proteasome subunit beta type-1, putative  Pf3D7_05_v3:759831-760998(-)  240",PF3D7_0518300,PF3D7_0518300
24.5341,24.7231,24.4154,24.2257,24.0743,23.2945,12.103,8.10401,14,translationally-controlled tumor protein homolog,0511000.1  0511000 translationally-controlled tumor protein homolog  translationally-controlled tumor protein homolog  Pf3D7_05_v3:467585-468100(-)  171,PF3D7_0511000,PF3D7_0511000
20.7957,20.8467,20.4089,20.4974,20.451,19.0489,4.5067,6.94272,5,protein disulfide-isomerase,1472600.1  1472600 protein disulfide-isomerase  protein disulfide-isomerase  Pf3D7_14_v3:2962986-2965086(-)  553,PF3D7_1472600,PF3D7_1472600
24.6021,24.6103,24.5526,24.0041,23.8698,23.8706,80.148,8.10595,37,40S ribosomal protein S19,0422400.1  0422400 40S ribosomal protein S19  40S ribosomal protein S19  Pf3D7_04_v3:1026648-1027399(+)  170,PF3D7_0422400,PF3D7_0422400
20.9128,20.8754,20.7395,20.7876,20.7371,19.0402,11.324,6.989,10,"conserved Plasmodium protein, unknown function","0811600.1  0811600 conserved Plasmodium protein, unknown function  conserved Plasmodium protein, unknown function  Pf3D7_08_v3:582983-586953(-)  1210",PF3D7_0811600,PF3D7_0811600
22.037,21.6786,22.0673,21.3136,21.3592,21.164,7.4096,7.30972,10,60S ribosomal protein L19,0614500.1  0614500 60S ribosomal protein L19  60S ribosomal protein L19  Pf3D7_06_v3:606142-607259(-)  182,PF3D7_0614500,PF3D7_0614500
23.0378,23.0515,23.0445,22.3409,22.3866,22.5188,23.776,7.64878,32,40S ribosomal protein S11,0516200.1  0516200 40S ribosomal protein S11  40S ribosomal protein S11  Pf3D7_05_v3:675809-676614(-)  151,PF3D7_0516200,PF3D7_0516200
23.2303,23.2792,23.3135,22.4307,22.784,22.7275,19.884,7.7177,19,60S ribosomal protein L27,1460700.1  1460700 60S ribosomal protein L27  60S ribosomal protein L27  Pf3D7_14_v3:2475501-2476473(-)  146,PF3D7_1460700,PF3D7_1460700
21.5336,21.7346,21.8973,21.0929,21.2045,20.999,5.0332,7.24556,11,"60S ribosomal protein L17, putative","1351400.1  1351400 60S ribosomal protein L17, putative  60S ribosomal protein L17, putative  Pf3D7_13_v3:2052108-2053384(+)  203",PF3D7_1351400,PF3D7_1351400
23.1029,23.0775,23.1718,22.4575,22.5417,22.4946,17.166,7.66894,18,cytoadherence linked asexual protein 9,0935800.1  0935800 cytoadherence linked asexual protein 9  cytoadherence linked asexual protein 9  Pf3D7_09_v3:1413840-1419754(+)  1340,PF3D7_0935800,PF3D7_0935800
23.5962,23.4123,23.4696,22.93,22.7229,22.9675,31.484,7.77722,28,40S ribosomal protein S2,1026800.1  1026800 40S ribosomal protein S2  40S ribosomal protein S2  Pf3D7_10_v3:1122962-1124037(+)  263,PF3D7_1026800,PF3D7_1026800
21.2561,21.2089,21.0724,20.7158,20.4383,20.5605,5.8544,7.08225,10,60S ribosomal protein L28,1142500.1  1142500 60S ribosomal protein L28  60S ribosomal protein L28  Pf3D7_11_v3:1705696-1706573(-)  127,PF3D7_1142500,PF3D7_1142500
21.437,21.0347,21.2134,19.5193,21.1273,21.2292,8.3327,7.13672,7,nicotinate-nucleotide adenylyltransferase,1327600.1  1327600 nicotinate-nucleotide adenylyltransferase  nicotinate-nucleotide adenylyltransferase  Pf3D7_13_v3:1159366-1159980(+)  204,PF3D7_1327600,PF3D7_1327600
22.746,22.7942,22.3255,22.2507,21.9207,21.8985,19.517,7.52833,14,40S ribosomal protein S15,1358800.1  1358800 40S ribosomal protein S15  40S ribosomal protein S15  Pf3D7_13_v3:2331074-2331529(+)  151,PF3D7_1358800,PF3D7_1358800
23.3655,23.2901,23.3461,22.7955,22.6059,22.8141,10.721,7.73651,24,60S ribosomal protein L3,1027800.1  1027800 60S ribosomal protein L3  60S ribosomal protein L3  Pf3D7_10_v3:1153271-1154431(-)  386,PF3D7_1027800,PF3D7_1027800
24.1528,24.1316,24.1293,23.6849,23.4741,23.4788,30.926,7.97871,24,"60S ribosomal protein L6-2, putative","1338200.1  1338200 60S ribosomal protein L6-2, putative  60S ribosomal protein L6-2, putative  Pf3D7_13_v3:1545070-1545735(-)  221",PF3D7_1338200,PF3D7_1338200
22.0662,22.0724,22.1484,21.5698,21.5961,21.3698,17.841,7.35731,25,merozoite surface protein,1036000.1  1036000 merozoite surface protein  merozoite surface protein  Pf3D7_10_v3:1427127-1428344(+)  405,PF3D7_1036000,PF3D7_1036000
25.0593,25.0777,25.0393,24.5866,24.4236,24.4202,24.447,8.25739,58,"proteasome subunit beta type-2, putative","1470900.1  1470900 proteasome subunit beta type-2, putative  proteasome subunit beta type-2, putative  Pf3D7_14_v3:2897916-2898657(+)  195",PF3D7_1470900,PF3D7_1470900
25.2663,25.3519,25.1513,24.6687,24.437,24.924,323.31,8.31819,69,"conserved Plasmodium protein, unknown function","1115800.1  1115800 conserved Plasmodium protein, unknown function  conserved Plasmodium protein, unknown function  Pf3D7_11_v3:596289-597203(-)  304",PF3D7_1115800,PF3D7_1115800
25.7404,25.8226,25.6781,25.2232,25.1711,25.1232,105.21,8.46018,88,proteasome subunit beta type-4,0803800.1  0803800 proteasome subunit beta type-4  proteasome subunit beta type-4  Pf3D7_08_v3:233467-234426(-)  265,PF3D7_0803800,PF3D7_0803800
23.2867,23.6411,23.7299,23.4806,22.4823,23.0103,35.637,7.81377,18,"basic transcription factor 3b, putative","1426100.1  1426100 basic transcription factor 3b, putative  basic transcription factor 3b, putative  Pf3D7_14_v3:1018745-1019260(-)  171",PF3D7_1426100,PF3D7_1426100
22.416,22.4039,22.4078,21.766,21.9607,21.8211,7.8201,7.45929,18,"40S ribosomal protein S5, putative","0721600.1  0721600 40S ribosomal protein S5, putative  40S ribosomal protein S5, putative  Pf3D7_07_v3:931459-932164(-)  195",PF3D7_0721600,PF3D7_0721600
22.6356,23.1753,22.9658,22.2049,22.3033,22.5889,9.6249,7.61647,8,"60S ribosomal protein L6, putative","1323100.1  1323100 60S ribosomal protein L6, putative  60S ribosomal protein L6, putative  Pf3D7_13_v3:965486-966280(-)  190",PF3D7_1323100,PF3D7_1323100
23.6664,23.6978,23.6336,23.2031,23.0045,23.1308,19.648,7.84141,18,"60S ribosomal protein L1, putative","1441200.1  1441200 60S ribosomal protein L1, putative  60S ribosomal protein L1, putative  Pf3D7_14_v3:1678662-1679486(+)  217",PF3D7_1441200,PF3D7_1441200
22.7074,22.9151,22.8578,22.4194,22.1992,22.2038,10.684,7.62013,22,glutathione peroxidase-like thioredoxin peroxidase,1212000.1  1212000 glutathione peroxidase-like thioredoxin peroxidase  glutathione peroxidase-like thioredoxin peroxidase  Pf3D7_12_v3:534912-535915(-)  205,PF3D7_1212000,PF3D7_1212000
21.1981,21.3271,21.0427,21.1876,20.8905,19.8483,14.892,7.10421,13,60S ribosomal protein L2,0516900.1  0516900 60S ribosomal protein L2  60S ribosomal protein L2  Pf3D7_05_v3:712762-713772(-)  260,PF3D7_0516900,PF3D7_0516900
23.493,23.5717,23.6502,23.0206,22.8775,23.2021,7.5792,7.81483,14,"60S ribosomal protein L5, putative","1424100.1  1424100 60S ribosomal protein L5, putative  60S ribosomal protein L5, putative  Pf3D7_14_v3:973853-975543(-)  294",PF3D7_1424100,PF3D7_1424100
23.26,23.3169,23.1536,22.76,22.6594,22.6983,17.455,7.71661,29,"60S ribosomal protein L7, putative","0307200.1  0307200 60S ribosomal protein L7, putative  60S ribosomal protein L7, putative  Pf3D7_03_v3:314976-316236(-)  257",PF3D7_0307200,PF3D7_0307200
25.0956,25.1641,25.2089,24.6277,24.5433,24.6922,47.581,8.29804,58,40S ribosomal protein S3,1465900.1  1465900 40S ribosomal protein S3  40S ribosomal protein S3  Pf3D7_14_v3:2684141-2685534(+)  221,PF3D7_1465900,PF3D7_1465900
23.9512,24.0696,23.996,23.3713,23.5207,23.5297,23.119,7.94396,43,"26S proteasome regulatory subunit RPN8, putative","0912900.1  0912900 26S proteasome regulatory subunit RPN8, putative  26S proteasome regulatory subunit RPN8, putative  Pf3D7_09_v3:567283-568640(+)  338",PF3D7_0912900,PF3D7_0912900
23.0678,23.0574,22.9627,22.555,22.4788,22.4645,33.304,7.66697,23,"60S ribosomal protein L10, putative","1414300.1  1414300 60S ribosomal protein L10, putative  60S ribosomal protein L10, putative  Pf3D7_14_v3:570802-571461(+)  219",PF3D7_1414300,PF3D7_1414300
23.7007,23.8415,23.77,23.3469,23.227,23.1693,18.1,7.87566,29,"40S ribosomal protein S8e, putative","1408600.1  1408600 40S ribosomal protein S8e, putative  40S ribosomal protein S8e, putative  Pf3D7_14_v3:323317-324172(+)  218",PF3D7_1408600,PF3D7_1408600
27.0031,26.9364,26.889,26.3995,26.387,26.4759,116.47,8.83473,163,gamete antigen 27/25,1302100.1  1302100 gamete antigen 27/25  gamete antigen 27/25  Pf3D7_13_v3:121636-122289(-)  217,PF3D7_1302100,PF3D7_1302100
23.2708,23.2377,23.2862,22.7745,22.6414,22.82,27.659,7.7218,26,"40S ribosomal protein S11, putative","0317600.1  0317600 40S ribosomal protein S11, putative  40S ribosomal protein S11, putative  Pf3D7_03_v3:725015-726130(+)  161",PF3D7_0317600,PF3D7_0317600
21.1995,21.4569,21.2587,20.6249,20.9918,20.7421,40.021,7.13236,15,"conserved Plasmodium protein, unknown function","0410600.1  0410600 conserved Plasmodium protein, unknown function  conserved Plasmodium protein, unknown function  Pf3D7_04_v3:479028-480468(+)  326",PF3D7_0410600,PF3D7_0410600
24.8811,24.817,25.0907,24.449,24.3493,24.435,33.943,8.22778,39,DNA/RNA-binding protein Alba 1,0814200.1  0814200 DNA/RNA-binding protein Alba 1  DNA/RNA-binding protein Alba 1  Pf3D7_08_v3:687340-688086(+)  248,PF3D7_0814200,PF3D7_0814200
25.6164,25.7345,25.7374,25.1356,25.2092,25.2178,36.356,8.45558,55,"conserved Plasmodium protein, unknown function","0925900.1  0925900 conserved Plasmodium protein, unknown function  conserved Plasmodium protein, unknown function  Pf3D7_09_v3:1040713-1041516(+)  217",PF3D7_0925900,PF3D7_0925900
27.1205,27.1811,27.1147,26.7574,26.5818,26.598,53.412,8.89258,64,thioredoxin peroxidase 1,1438900.1  1438900 thioredoxin peroxidase 1  thioredoxin peroxidase 1  Pf3D7_14_v3:1575984-1576571(+)  195,PF3D7_1438900,PF3D7_1438900
25.5032,25.5983,25.42,25.161,25.0166,24.9508,127.97,8.40432,56,"ubiquitin domain-containing protein DSK2, putative","1113400.1  1113400 ubiquitin domain-containing protein DSK2, putative  ubiquitin domain-containing protein DSK2, putative  Pf3D7_11_v3:521122-522824(-)  388",PF3D7_1113400,PF3D7_1113400
24.1227,24.2276,24.2034,23.7119,23.5831,23.8745,42.428,8.00475,24,"elongation factor 1 (EF-1), putative","0319600.1  0319600 elongation factor 1 (EF-1), putative  elongation factor 1 (EF-1), putative  Pf3D7_03_v3:817913-818695(+)  156",PF3D7_0319600,PF3D7_0319600
25.9114,25.7704,25.8356,25.4625,25.294,25.3823,8.7435,8.49971,22,proteasome subunit beta type-5,1011400.1  1011400 proteasome subunit beta type-5  proteasome subunit beta type-5  Pf3D7_10_v3:441140-441955(-)  271,PF3D7_1011400,PF3D7_1011400
24.6347,24.7228,24.6595,24.2285,24.1189,24.2931,73.894,8.15351,57,60S ribosomal protein P0,1130200.1  1130200 60S ribosomal protein P0  60S ribosomal protein P0  Pf3D7_11_v3:1165221-1166171(+)  316,PF3D7_1130200,PF3D7_1130200
25.6235,25.6033,25.6247,25.0818,25.1924,25.2148,323.31,8.44971,142,erythrocyte binding antigen-175,0731500.1  0731500 erythrocyte binding antigen-175  erythrocyte binding antigen-175  Pf3D7_07_v3:1358055-1362929(+)  1502,PF3D7_0731500,PF3D7_0731500
23.3268,23.3165,23.2674,22.9425,22.8595,22.7545,11.918,7.76407,15,protein arginine N-methyltransferase 1,1426200.1  1426200 protein arginine N-methyltransferase 1  protein arginine N-methyltransferase 1  Pf3D7_14_v3:1021652-1022857(-)  401,PF3D7_1426200,PF3D7_1426200
23.1459,23.1972,23.2697,22.7546,22.8126,22.7005,20.848,7.71841,27,"60S ribosomal protein L12, putative","0517000.1  0517000 60S ribosomal protein L12, putative  60S ribosomal protein L12, putative  Pf3D7_05_v3:715765-716675(-)  165",PF3D7_0517000,PF3D7_0517000
24.1433,24.1383,24.1672,23.5872,23.6959,23.8364,12.098,8.0553,40,DNA/RNA-binding protein Alba 2,1346300.1  1346300 DNA/RNA-binding protein Alba 2  DNA/RNA-binding protein Alba 2  Pf3D7_13_v3:1849528-1850517(+)  211,PF3D7_1346300,PF3D7_1346300
25.3448,25.3563,25.2983,24.947,24.8176,24.9056,32.021,8.35472,49,"proteasome subunit alpha type-2, putative","0608500.1  0608500 proteasome subunit alpha type-2, putative  proteasome subunit alpha type-2, putative  Pf3D7_06_v3:351780-352775(-)  235",PF3D7_0608500,PF3D7_0608500
22.9988,23.2126,23.0655,22.5238,22.7503,22.6808,8.9546,7.67747,12,aspartate transaminase,0204500.1  0204500 aspartate transaminase  aspartate transaminase  Pf3D7_02_v3:198353-199570(-)  405,PF3D7_0204500,PF3D7_0204500
31.2775,31.3049,31.2332,30.9127,30.8805,30.7289,323.31,10.1583,887,glyceraldehyde-3-phosphate dehydrogenase,1462800.1  1462800 glyceraldehyde-3-phosphate dehydrogenase  glyceraldehyde-3-phosphate dehydrogenase  Pf3D7_14_v3:2559098-2560347(+)  337,PF3D7_1462800,PF3D7_1462800
22.9938,22.9429,22.7551,22.3212,22.6012,22.4905,9.1227,7.62583,17,adenylate kinase,1008900.1  1008900 adenylate kinase  adenylate kinase  Pf3D7_10_v3:369199-370225(-)  242,PF3D7_1008900,PF3D7_1008900
23.9161,24.0421,23.9995,23.5162,23.6076,23.5674,48.241,7.94959,39,"proteasome subunit beta type-3, putative","0108000.1  0108000 proteasome subunit beta type-3, putative  proteasome subunit beta type-3, putative  Pf3D7_01_v3:328431-329558(-)  218",PF3D7_0108000,PF3D7_0108000
26.0586,26.0249,26.1283,25.6926,25.7405,25.5297,218.32,8.59594,132,protein DJ-1,0627500.1  0627500 protein DJ-1  protein DJ-1  Pf3D7_06_v3:1101734-1102852(-)  189,PF3D7_0627500,PF3D7_0627500
23.5903,23.4414,23.6991,23.129,23.1613,23.1955,19.136,7.83761,36,"40S ribosomal protein S3A, putative","0322900.1  0322900 40S ribosomal protein S3A, putative  40S ribosomal protein S3A, putative  Pf3D7_03_v3:965553-966502(-)  262",PF3D7_0322900,PF3D7_0322900
21.9814,21.7869,21.6571,21.4314,21.4555,21.297,3.3692,7.29677,8,"coatomer subunit gamma, putative","1145100.1  1145100 coatomer subunit gamma, putative  coatomer subunit gamma, putative  Pf3D7_11_v3:1783357-1786563(-)  1068",PF3D7_1145100,PF3D7_1145100
23.3419,23.3366,23.3339,23.166,22.9279,22.6862,35.554,7.76346,45,60S ribosomal protein L4,0507100.1  0507100 60S ribosomal protein L4  60S ribosomal protein L4  Pf3D7_05_v3:294668-295903(-)  411,PF3D7_0507100,PF3D7_0507100
23.5856,23.4907,23.6009,23.2125,23.1227,23.1429,72.101,7.8353,30,nucleosome assembly protein,0919000.1  0919000 nucleosome assembly protein  nucleosome assembly protein  Pf3D7_09_v3:781368-782675(-)  269,PF3D7_0919000,PF3D7_0919000
22.3544,22.702,22.4409,22.0636,22.0819,22.1564,48.6,7.51167,18,"subunit of proteaseome activator complex, putative","0907700.1  0907700 subunit of proteaseome activator complex, putative  subunit of proteaseome activator complex, putative  Pf3D7_09_v3:364069-364908(-)  279",PF3D7_0907700,PF3D7_0907700
29.1519,29.1298,29.1492,28.7341,28.7229,28.7887,323.31,9.51415,391,phosphoethanolamine N-methyltransferase,1343000.1  1343000 phosphoethanolamine N-methyltransferase  phosphoethanolamine N-methyltransferase  Pf3D7_13_v3:1696894-1698113(+)  266,PF3D7_1343000,PF3D7_1343000
23.2209,23.1993,23.1601,22.7405,22.7057,22.9594,4.3764,7.71786,11,"60S ribosomal protein L7-3, putative","1424400.1  1424400 60S ribosomal protein L7-3, putative  60S ribosomal protein L7-3, putative  Pf3D7_14_v3:977908-979166(+)  283",PF3D7_1424400,PF3D7_1424400
22.318,22.1036,22.3368,22.0471,21.9384,21.6093,43.532,7.4652,18,"60S ribosomal protein L13-2, putative","0814000.1  0814000 60S ribosomal protein L13-2, putative  60S ribosomal protein L13-2, putative  Pf3D7_08_v3:680957-681809(+)  215",PF3D7_0814000,PF3D7_0814000
24.7997,24.8345,24.7158,24.5935,24.3619,24.2423,18.778,8.21024,38,ADP-ribosylation factor,1020900.1  1020900 ADP-ribosylation factor  ADP-ribosylation factor  Pf3D7_10_v3:845086-846192(-)  181,PF3D7_1020900,PF3D7_1020900
